Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
86,Exit Long,short,2022-01-14 09:25,18197.20,1,-1191.67,-0.13,-57630.83,-0.01,697.50,0.08,3740.00,0.41
87,Entry Short,short,2022-01-14 09:25,18197.20,1,-1562.50,-0.17,-59273.33,-0.02,603.33,0.07,3056.67,0.34
87,Exit Short,long,2022-01-14 10:25,18228.35,1,-1562.50,-0.17,-59273.33,-0.02,603.33,0.07,3056.67,0.34
88,Entry Short,short,2022-01-14 10:00,18228.45,1,-18.33,0,-59271.67,0,1140.00,0.13,560.00,0.06
88,Exit Short,long,2022-01-14 10:25,18228.35,1,-18.33,0,-59271.67,0,1140.00,0.13,560.00,0.06
89,Entry Short,short,2022-01-14 10:05,18218.00,1,-540.83,-0.06,-59792.50,-0.01,617.50,0.07,1082.50,0.12
89,Exit Short,long,2022-01-14 10:25,18228.35,1,-540.83,-0.06,-59792.50,-0.01,617.50,0.07,1082.50,0.12
90,Entry Short,short,2022-01-14 10:10,18206.80,1,-1100.83,-0.12,-60873.33,-0.01,57.50,0.01,1642.50,0.18
90,Exit Short,long,2022-01-14 10:25,18228.35,1,-1100.83,-0.12,-60873.33,-0.01,57.50,0.01,1642.50,0.18
91,Entry Short,short,2022-01-14 10:15,18224.85,1,-198.33,-0.02,-61051.67,0,395.00,0.04,740.00,0.08
91,Exit Short,long,2022-01-14 10:25,18228.35,1,-198.33,-0.02,-61051.67,0,395.00,0.04,740.00,0.08
92,Entry Long,long,2022-01-14 10:25,18228.35,1,-710.83,-0.08,-61802.50,-0.01,0,0,2070.83,0.23
92,Exit Long,short,2022-01-14 11:10,18214.30,1,-710.83,-0.08,-61802.50,-0.01,0,0,2070.83,0.23
93,Entry Long,long,2022-01-14 10:30,18217.05,1,-162.50,-0.02,-61945.00,0,255.00,0.03,1522.50,0.17
93,Exit Long,short,2022-01-14 11:10,18214.30,1,-162.50,-0.02,-61945.00,0,255.00,0.03,1522.50,0.17
94,Entry Long,long,2022-01-14 10:35,18209.80,1,200.00,0.02,-61725.00,0,440.00,0.05,1160.00,0.13
94,Exit Long,short,2022-01-14 11:10,18214.30,1,200.00,0.02,-61725.00,0,440.00,0.05,1160.00,0.13
95,Entry Short,short,2022-01-14 11:10,18214.30,1,257.14,0.03,-61567.85,0,1997.50,0.22,230.00,0.03
95,Exit Short,long,2022-01-14 11:50,18209.00,1,257.14,0.03,-61567.85,0,1997.50,0.22,230.00,0.03
96,Entry Short,short,2022-01-14 11:15,18211.15,1,84.64,0.01,-61463.21,0,1825.00,0.2,162.50,0.02
96,Exit Short,long,2022-01-14 11:50,18209.00,1,84.64,0.01,-61463.21,0,1825.00,0.2,162.50,0.02
97,Entry Short,short,2022-01-14 11:30,18197.20,1,-612.86,-0.07,-62056.07,-0.01,1127.50,0.12,610.00,0.07
97,Exit Short,long,2022-01-14 11:50,18209.00,1,-612.86,-0.07,-62056.07,-0.01,1127.50,0.12,610.00,0.07
98,Entry Short,short,2022-01-14 11:35,18184.25,1,-1260.36,-0.14,-63296.43,-0.01,162.50,0.02,1257.50,0.14
98,Exit Short,long,2022-01-14 11:50,18209.00,1,-1260.36,-0.14,-63296.43,-0.01,162.50,0.02,1257.50,0.14
99,Entry Short,short,2022-01-14 11:40,18190.00,1,-972.86,-0.11,-64249.28,-0.01,0,0,970.00,0.11
99,Exit Short,long,2022-01-14 11:50,18209.00,1,-972.86,-0.11,-64249.28,-0.01,0,0,970.00,0.11
100,Entry Short,short,2022-01-14 11:45,18200.00,1,-472.86,-0.05,-64702.14,0,0,0,470.00,0.05
100,Exit Short,long,2022-01-14 11:50,18209.00,1,-472.86,-0.05,-64702.14,0,0,0,470.00,0.05
101,Entry Long,long,2022-01-14 11:50,18209.00,1,4846.19,0.53,-60235.95,0.05,6092.14,0.67,537.86,0.06
101,Exit Long,short,2022-01-17 13:50,18306.00,1,4846.19,0.53,-60235.95,0.05,6092.14,0.67,537.86,0.06
102,Entry Long,long,2022-01-14 12:10,18212.85,1,4636.55,0.51,-55579.41,0.05,5882.50,0.65,227.50,0.02
102,Exit Long,short,2022-01-17 13:50,18306.00,1,4636.55,0.51,-55579.41,0.05,5882.50,0.65,227.50,0.02
103,Entry Long,long,2022-01-14 12:15,18220.40,1,4259.05,0.47,-51300.35,0.04,5505.00,0.6,605.00,0.07
103,Exit Long,short,2022-01-17 13:50,18306.00,1,4259.05,0.47,-51300.35,0.04,5505.00,0.6,605.00,0.07
104,Entry Long,long,2022-01-14 12:30,18223.00,1,4129.05,0.45,-47151.31,0.04,5375.00,0.59,357.50,0.04
104,Exit Long,short,2022-01-17 13:50,18306.00,1,4129.05,0.45,-47151.31,0.04,5375.00,0.59,357.50,0.04
105,Entry Long,long,2022-01-14 12:35,18234.00,1,3579.05,0.39,-43552.26,0.04,4825.00,0.53,367.50,0.04
105,Exit Long,short,2022-01-17 13:50,18306.00,1,3579.05,0.39,-43552.26,0.04,4825.00,0.53,367.50,0.04
